file,variable,dtype,example_value
assigned_primary_feasibility_summary.csv,route_feasibility,object,functional
assigned_primary_feasibility_summary.csv,route_feasibility_group,object,stronger_linkage
assigned_primary_feasibility_summary.csv,n_routes,int64,66
assigned_primary_feasibility_summary.csv,pct_routes,float64,39.3
assigned_primary_hub_readiness_summary.csv,assigned_hub_readiness_group,object,full_hub
assigned_primary_hub_readiness_summary.csv,n_routes,int64,54
assigned_primary_hub_readiness_summary.csv,pct_routes,float64,32.1
assigned_spoke_hub_distance_band_summary.csv,scenario,object,full_score_4
assigned_spoke_hub_distance_band_summary.csv,scenario_label,object,"Full hubs, service score =4"
assigned_spoke_hub_distance_band_summary.csv,assigned_distance_band,object,25_to_50_km
assigned_spoke_hub_distance_band_summary.csv,n_routes,int64,47
assigned_spoke_hub_distance_band_summary.csv,pct_routes,float64,28.0
assigned_spoke_hub_feasibility_summary.csv,scenario,object,full_score_4
assigned_spoke_hub_feasibility_summary.csv,scenario_label,object,"Full hubs, service score =4"
assigned_spoke_hub_feasibility_summary.csv,route_feasibility,object,functional
assigned_spoke_hub_feasibility_summary.csv,route_feasibility_group,object,stronger_linkage
assigned_spoke_hub_feasibility_summary.csv,n_routes,int64,68
assigned_spoke_hub_feasibility_summary.csv,pct_routes,float64,40.5
assigned_spoke_hub_readiness_summary.csv,scenario,object,full_score_4
assigned_spoke_hub_readiness_summary.csv,scenario_label,object,"Full hubs, service score =4"
assigned_spoke_hub_readiness_summary.csv,assigned_hub_readiness_group,object,full_hub
assigned_spoke_hub_readiness_summary.csv,n_routes,int64,168
assigned_spoke_hub_readiness_summary.csv,pct_routes,float64,100.0
assigned_spoke_hub_routes_by_scenario.csv,scenario,object,full_score_4
assigned_spoke_hub_routes_by_scenario.csv,scenario_label,object,"Full hubs, service score =4"
assigned_spoke_hub_routes_by_scenario.csv,spoke_id,object,SPOKE_0044
assigned_spoke_hub_routes_by_scenario.csv,spoke_name,object,Anaka HOSPITAL
