scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
full_score_4,"Full hubs, service score =4",SPOKE_0044,Anaka HOSPITAL,existing_nbs,1,0,HF2353,General Hospital,NWOYA,31.94798,2.60271,HF2353,Anaka HOSPITAL,General Hospital,Government,ACHOLI,31.94798,2.60271,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,151427,1041,4,0.088435,0.391597
full_score_4,"Full hubs, service score =4",SPOKE_0046,Apac HOSPITAL,existing_nbs,1,0,HF1934,General Hospital,APAC,32.533801,1.981577,HF1934,Apac HOSPITAL,General Hospital,Government,LANGO,32.533801,1.981577,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,116013,737,12,0.087798,0.430962
full_score_4,"Full hubs, service score =4",SPOKE_0053,Bugiri HOSPITAL,existing_nbs,1,0,HF1032,General Hospital,BUGIRI,33.742088,0.575261,HF1032,Bugiri HOSPITAL,General Hospital,Government,BUSOGA,33.742088,0.575261,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,292996,551,9,0.092077,0.270391
full_score_4,"Full hubs, service score =4",SPOKE_0061,Busolwe HOSPITAL,existing_nbs,1,0,HF1125,General Hospital,BUTALEJA,33.928311,0.852506,HF1125,Busolwe HOSPITAL,General Hospital,Government,BUKEDI,33.928311,0.852506,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,195701,679,11,0.093691,0.219096
full_score_4,"Full hubs, service score =4",SPOKE_0068,Dabani HOSPITAL,existing_nbs,1,0,HF1113,General Hospital,BUSIA,34.051798,0.439779,HF1113,Dabani HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,34.051798,0.439779,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,297299,556,5,0.09492,0.359669
full_score_4,"Full hubs, service score =4",SPOKE_0075,Iganga HOSPITAL,existing_nbs,1,0,HF1166,General Hospital,IGANGA,33.48449,0.61649,HF1166,Iganga HOSPITAL,General Hospital,Government,BUSOGA,33.48449,0.61649,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,449866,1041,5,0.092036,0.345232
full_score_4,"Full hubs, service score =4",SPOKE_0080,Kalisizo HOSPITAL,existing_nbs,1,0,HF0777,General Hospital,RAKAI,31.62277,-0.53569,HF0777,Kalisizo HOSPITAL,General Hospital,Government,SOUTH BUGANDA,31.62277,-0.53569,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,176754,149,5,0.057151,0.133475
full_score_4,"Full hubs, service score =4",SPOKE_0081,Kalongo Ambrosoli Memorial HOSPITAL,existing_nbs,1,0,HF1831,General Hospital,AGAGO,33.43579,3.02789,HF1831,Kalongo Ambrosoli Memorial HOSPITAL,General Hospital,Private Not For Profit,ACHOLI,33.43579,3.02789,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,33544,1408,17,0.078423,0.440943
full_score_4,"Full hubs, service score =4",SPOKE_0083,Kamuli HOSPITAL,existing_nbs,1,0,HF1312,General Hospital,KAMULI,33.12034,0.95039,HF1312,Kamuli HOSPITAL,General Hospital,Government,BUSOGA,33.12034,0.95039,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,196516,17,0,0.098284,0.362318
full_score_4,"Full hubs, service score =4",SPOKE_0092,Kayunga Hospital,existing_nbs,1,0,HF0304,General Hospital,KAYUNGA,32.90342,0.70353,HF0304,Kayunga Hospital,General Hospital,Government,NORTH BUGANDA,32.90342,0.70353,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,213826,1041,17,0.091807,0.288328
