scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0030,Abim HOSPITAL,existing_nbs,1,0,HF1769,General Hospital,ABIM,33.66236,2.67686,HF1769,Abim HOSPITAL,General Hospital,Government,KARAMOJA,33.66236,2.67686,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,42977,556,5,0.084148,0.472325
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0036,Alebtong HC IV,existing_nbs,1,0,HF1868,HC IV,ALEBTONG,33.23659,2.26365,HF1868,Alebtong HC IV,HC IV,Government,LANGO,33.23659,2.26365,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,124673,0,0,0.09574,0.364924
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0039,Amolatar HC IV,existing_nbs,1,0,HF1882,HC IV,AMOLATAR,32.842983,1.640539,HF1882,Amolatar HC IV,HC IV,Government,LANGO,32.842983,1.640539,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,141470,0,0,0.085375,0.272265
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0044,Anaka HOSPITAL,existing_nbs,1,0,HF2353,General Hospital,NWOYA,31.94798,2.60271,HF2353,Anaka HOSPITAL,General Hospital,Government,ACHOLI,31.94798,2.60271,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,151427,1041,4,0.088435,0.391597
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0046,Apac HOSPITAL,existing_nbs,1,0,HF1934,General Hospital,APAC,32.533801,1.981577,HF1934,Apac HOSPITAL,General Hospital,Government,LANGO,32.533801,1.981577,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,116013,737,12,0.087798,0.430962
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0049,Atutur HOSPITAL,existing_nbs,1,0,HF1408,General Hospital,KUMI,33.990778,1.412704,HF1408,Atutur HOSPITAL,General Hospital,Government,TESO,33.990778,1.412704,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,0,3,0.25,strong_hub_score_3,strong_hub,79058,4387,21,0.078373,0.393554
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0051,Budaka HC IV,existing_nbs,1,0,HF0998,HC IV,BUDAKA,33.95179,1.01983,HF0998,Budaka HC IV,HC IV,Government,BUKEDI,33.95179,1.01983,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,230903,0,0,0.089879,0.235467
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0052,Bududa HOSPITAL,existing_nbs,1,0,HF1015,General Hospital,BUDUDA,34.332262,1.00907,HF1015,Bududa HOSPITAL,General Hospital,Government,BUGISU,34.332262,1.00907,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,388002,206,9,0.066579,0.191692
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0053,Bugiri HOSPITAL,existing_nbs,1,0,HF1032,General Hospital,BUGIRI,33.742088,0.575261,HF1032,Bugiri HOSPITAL,General Hospital,Government,BUSOGA,33.742088,0.575261,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,292996,551,9,0.092077,0.270391
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0054,Bugobero HC IV,existing_nbs,1,0,HF1483,HC IV,MANAFWA,34.25272,0.86533,HF1483,Bugobero HC IV,HC IV,Government,BUGISU,34.25272,0.86533,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,218236,0,0,0.080011,0.214444
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0055,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,1,0,HF0002,General Hospital,BUIKWE,33.03181,0.33944,HF0002,Buikwe St. Charles Lwanga HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,33.03181,0.33944,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,117227,720,5,0.088849,0.178194
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0059,Busaru HC IV,existing_nbs,1,0,HF2494,HC IV,BUNDIBUGYO,30.04422,0.66763,HF2494,Busaru HC IV,HC IV,Private Not For Profit,TORO,30.04422,0.66763,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,119966,0,0,0.053528,0.153529
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0060,Busiu HC IV,existing_nbs,1,0,HF1530,HC IV,MBALE,34.160205,0.921866,HF1530,Busiu HC IV,HC IV,Government,BUGISU,34.160205,0.921866,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,241986,0,0,0.083648,0.220916
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0061,Busolwe HOSPITAL,existing_nbs,1,0,HF1125,General Hospital,BUTALEJA,33.928311,0.852506,HF1125,Busolwe HOSPITAL,General Hospital,Government,BUKEDI,33.928311,0.852506,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,195701,679,11,0.093691,0.219096
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0062,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,1,0,HF0263,NR Hospital,KAMPALA,32.6561,0.315,HF0263,Butabika NATIONAL REFERAL HOSPITAL,NR Hospital,Government,KAMPALA,32.6561,0.315,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,66129,373,13,0.082055,0.104285
