hub_id,facility_id,hub_source_row_id,hub_name,hub_name_clean,hub_level,ownership,subregion,longitude,latitude,coordinate_valid,coordinate_source,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub,eligible_strong_hub,eligible_full_hub,eligible_treatment_any_hub,eligible_transfusion_ready_hub,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean,master_name,master_name_clean,master_type,master_ownership,master_authority,master_status,master_region,master_district,master_county,master_subcounty,master_name_match_flag,no,facility_name,facility_type,cl,hu,nbs,tr,co_risk_product,hbs_minmax,pfpr_minmax,co_risk_additive_standardised,master_longitude,master_latitude,master_coordinate_valid
HF0002,HF0002,1,Buikwe St. Charles Lwanga HOSPITAL,BUIKWE SAINT CHARLES LWANGA HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,33.03181,0.33944,TRUE,facilities_master_by_facility_id,0,0,1,1,2,0.5,partial_hub_score_2,TRUE,FALSE,FALSE,TRUE,TRUE,117227,720,5,0.088849,0.178194,Buikwe St. Charles Lwanga HOSPITAL,BUIKWE SAINT CHARLES LWANGA HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,NA,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,exact_clean_name_match,1,Buikwe St. Charles Lwanga HOSPITAL,General Hospital,0,0,1,1,0.01583236,0.84626391,0.29116933,0.56871662,33.03181,0.33944,TRUE
HF0007,HF0007,2,Kawolo HOSPITAL,KAWOLO HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.94508,0.36783,TRUE,facilities_master_by_facility_id,1,0,1,1,3,0.25,strong_hub_score_3,TRUE,TRUE,FALSE,TRUE,TRUE,41558,711,12,0.087423,0.162392,Kawolo HOSPITAL,KAWOLO HOSPITAL,General Hospital,Government,MOH,Functional,NA,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,exact_clean_name_match,2,Kawolo HOSPITAL,General Hospital,1,0,1,1,0.0141968,0.82820711,0.25616299,0.54218505,32.94508,0.36783,TRUE
HF0008,HF0008,3,Lugazi Scoul HOSPITAL,LUGAZI SCOUL HOSPITAL,General Hospital,Private For Profit,NORTH BUGANDA,32.93794,0.37751,TRUE,facilities_master_by_facility_id,0,0,0,1,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,TRUE,77886,26,1,0.084536,0.155447,Lugazi Scoul HOSPITAL,LUGAZI SCOUL HOSPITAL,General Hospital,Private For Profit,NA,Functional,NA,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,exact_clean_name_match,3,Lugazi Scoul HOSPITAL,General Hospital,0,0,0,1,0.01314087,0.79165031,0.24077766,0.51621399,32.93794,0.37751,TRUE
HF0019,HF0019,4,Nkokonjeru HOSPITAL,NKOKONJERU HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,32.92302,0.23599,TRUE,facilities_master_by_facility_id,0,0,0,1,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,TRUE,120831,15,0,0.084365,0.165175,Nkokonjeru HOSPITAL,NKOKONJERU HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,NA,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,exact_clean_name_match,4,Nkokonjeru  HOSPITAL,General Hospital,0,0,0,1,0.01393499,0.78948501,0.2623282,0.52590661,32.92302,0.23599,TRUE
HF0022,HF0022,5,St. Francis Nyenga HOSPITAL,SAINT FRANCIS NYENGA HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,33.14065,0.39505,TRUE,facilities_master_by_facility_id,0,0,0,1,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,TRUE,126012,199,4,0.09128,0.194136,St. Francis Nyenga HOSPITAL,SAINT FRANCIS NYENGA HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,NA,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,exact_clean_name_match,5,St. Francis Nyenga HOSPITAL,General Hospital,0,0,0,1,0.01772073,0.87704659,0.32648581,0.6017662,33.14065,0.39505,TRUE
HF0039,HF0039,6,Butenga HC IV,BUTENGA HC IV,HC IV,Government,SOUTH BUGANDA,31.67238,-0.19553,TRUE,facilities_master_by_facility_id,1,0,0,0,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,FALSE,126212,0,0,0.057998,0.139919,Butenga HC IV,BUTENGA HC IV,HC IV,Government,MOH,Functional,NA,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,exact_clean_name_match,6,Butenga HC IV,HC IV,1,0,0,0,0.00811502,0.45561141,0.20637832,0.33099486,31.67238,-0.19553,TRUE
HF0052,HF0052,7,Gombe HOSPITAL,GOMBE HOSPITAL,General Hospital,Government,SOUTH BUGANDA,32.114144,0.184416,TRUE,facilities_master_by_facility_id,0,0,1,1,2,0.5,partial_hub_score_2,TRUE,FALSE,FALSE,TRUE,TRUE,143579,100,4,0.064401,0.119993,Gombe HOSPITAL,GOMBE HOSPITAL,General Hospital,Government,MOH,Functional,NA,BUTAMBALA,BUTAMBALA,GOMBE TOWN COUNCIL,exact_clean_name_match,7,Gombe HOSPITAL,General Hospital,0,0,1,1,0.00772767,0.53668975,0.16223605,0.3494629,32.114144,0.184416,TRUE
HF0083,HF0083,8,Maddu HC IV,MADDU HC IV,HC IV,Government,SOUTH BUGANDA,31.66908,0.21294,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,44006,0,0,0.058721,0.166956,Maddu HC IV,MADDU HC IV,HC IV,Government,MOH,Functional,NA,GOMBA,GOMBA,MADDU,exact_clean_name_match,8,Maddu HC IV,HC IV,0,0,0,0,0.00980382,0.46476644,0.26627367,0.36552006,31.66908,0.21294,TRUE
HF0092,HF0092,9,Bukulula HC IV,BUKULULA HC IV,HC IV,Government,SOUTH BUGANDA,31.844494,-0.178123,TRUE,facilities_master_by_facility_id,1,0,0,0,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,FALSE,62110,0,0,0.060811,0.124908,Bukulula HC IV,BUKULULA HC IV,HC IV,Government,Local Government,Functional,NA,KALUNGU,KALUNGU,BUKULULA,exact_clean_name_match,9,Bukulula HC IV,HC IV,1,0,0,0,0.00759578,0.49123118,0.1731243,0.33217774,31.844494,-0.178123,TRUE
HF0093,HF0093,10,Villa Maria HOSPITAL,VILLA MARIA HOSPITAL,General Hospital,Private Not For Profit,SOUTH BUGANDA,31.743304,-0.228127,TRUE,facilities_master_by_facility_id,1,1,1,1,4,0,full_hub_score_4,TRUE,TRUE,TRUE,TRUE,TRUE,54373,369,7,0.060275,0.135269,Villa Maria HOSPITAL,VILLA MARIA HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,NA,KALUNGU,KALUNGU,KALUNGU,exact_clean_name_match,10,Villa Maria HOSPITAL,General Hospital,1,1,1,1,0.00815334,0.48444405,0.19607713,0.34026059,31.743304,-0.228127,TRUE
