metric,value
candidate_hub_records,280
candidate_hubs_with_valid_coordinates,280
candidate_hubs_missing_coordinates,0
eligible_primary_hubs_score_ge_2,75
eligible_primary_hubs_with_valid_coordinates,75
eligible_strong_hubs_score_ge_3,43
eligible_full_hubs_score_4,23
eligible_treatment_any_hubs,155
eligible_transfusion_ready_hubs,115
full_hubs_score_4,23
strong_hubs_score_3,20
partial_hubs_score_2,32
weak_hubs_score_1,83
not_ready_hubs_score_0,122
facilities_missing_hbs_mean,0
facilities_missing_pfpr_mean,5
hub_records_with_name_mismatch_or_missing_master,0
