metric,value
primary_assigned_spokes,168
hubs_used_in_primary_assignment,62
median_linked_spokes_per_hub,2
mean_linked_spokes_per_hub,2.7
max_linked_spokes_assigned_to_one_hub,18
low_spoke_load_hubs,53
moderate_spoke_load_hubs,7
high_spoke_load_hubs,2
very_high_spoke_load_hubs,0
low_route_risk_hubs,32
moderate_route_risk_hubs,1
high_route_risk_hubs,29
full_hubs_used_score_4,20
strong_hubs_used_score_3,15
partial_hubs_used_score_2,27
spokes_linked_to_full_hubs,54
spokes_linked_to_strong_hubs,39
spokes_linked_to_partial_hubs,75
hubs_flagged_partial_service_with_route_risk,27
