spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0030,Abim HOSPITAL,existing_nbs,HF1769,Abim HOSPITAL,General Hospital,Government,KARAMOJA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0031,Aboke HC IV,existing_nbs,HF2152,Aboke HC IV,HC IV,Government,LANGO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0036,Alebtong HC IV,existing_nbs,HF1868,Alebtong HC IV,HC IV,Government,LANGO,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0038,Amach HC IV,existing_nbs,HF2211,Amach HC IV,HC IV,Government,LANGO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0039,Amolatar HC IV,existing_nbs,HF1882,Amolatar HC IV,HC IV,Government,LANGO,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0042,Amuria HC IV,existing_nbs,HF0966,Amuria HC IV,HC IV,Government,TESO,0,0_to_25_km,0,not_ready_score_0
SPOKE_0044,Anaka HOSPITAL,existing_nbs,HF2353,Anaka HOSPITAL,General Hospital,Government,ACHOLI,0,0_to_25_km,4,full_hub_score_4
SPOKE_0045,Anyeke HC IV,existing_nbs,HF2400,Anyeke HC IV,HC IV,Government,LANGO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0046,Apac HOSPITAL,existing_nbs,HF1934,Apac HOSPITAL,General Hospital,Government,LANGO,0,0_to_25_km,4,full_hub_score_4
SPOKE_0047,Apapai HC IV,existing_nbs,HF1629,Apapai HC IV,HC IV,Government,TESO,0,0_to_25_km,0,not_ready_score_0
SPOKE_0049,Atutur HOSPITAL,existing_nbs,HF1408,Atutur HOSPITAL,General Hospital,Government,TESO,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0009,Awach HC IV,collocated_candidate_nbs,HF2027,Awach HC IV,HC IV,Government,ACHOLI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0011,Bbaale HC IV,collocated_candidate_nbs,HF0290,Bbaale HC IV,HC IV,Government,NORTH BUGANDA,0,0_to_25_km,0,not_ready_score_0
SPOKE_0051,Budaka HC IV,existing_nbs,HF0998,Budaka HC IV,HC IV,Government,BUKEDI,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0052,Bududa HOSPITAL,existing_nbs,HF1015,Bududa HOSPITAL,General Hospital,Government,BUGISU,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0053,Bugiri HOSPITAL,existing_nbs,HF1032,Bugiri HOSPITAL,General Hospital,Government,BUSOGA,0,0_to_25_km,4,full_hub_score_4
