spoke_id,candidate_facility_id,candidate_distance_km,spoke_name,spoke_type,assigned_hub_id,assigned_hub_name,assigned_distance_km,route_feasibility,facility_name,facility_level,ownership,subregion,longitude,latitude,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub
SPOKE_0036,HF2375,19.7,Alebtong HC IV,existing_nbs,HF1868,Alebtong HC IV,0,partial,Orum HC IV,HC IV,Government,LANGO,33.34886,2.40098,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0051,HF1130,11.5,Budaka HC IV,existing_nbs,HF0998,Budaka HC IV,0,partial,Kabasa Memorial HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,34.0327,0.95557,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0051,HF1405,17.3,Budaka HC IV,existing_nbs,HF0998,Budaka HC IV,0,partial,Kibuku HC IV,HC IV,Government,BUKEDI,33.79967,1.05046,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0051,HF1533,24.8,Budaka HC IV,existing_nbs,HF0998,Budaka HC IV,0,partial,Namatala HC IV,HC IV,Government,BUGISU,34.16483,1.085432,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0051,HF1600,20.4,Budaka HC IV,existing_nbs,HF0998,Budaka HC IV,0,partial,Butebo HC IV,HC IV,Government,BUKEDI,33.918499,1.201598,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0054,HF1492,10.6,Bugobero HC IV,existing_nbs,HF1483,Bugobero HC IV,0,partial,Bubulo HC IV,HC IV,Government,BUGISU,34.28036,0.9567,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0054,HF1532,24.7,Bugobero HC IV,existing_nbs,HF1483,Bugobero HC IV,0,partial,Cure Children's Hospital,General Hospital,Private Not For Profit,BUGISU,34.171724,1.073644,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0054,HF1722,14.7,Bugobero HC IV,existing_nbs,HF1483,Bugobero HC IV,0,partial,Mukuju HC IV,HC IV,Government,BUKEDI,34.190183,0.747797,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0054,HF1751,19,Bugobero HC IV,existing_nbs,HF1483,Bugobero HC IV,0,partial,Benedictine Eye HOSPITAL,General Hospital,Government,BUKEDI,34.19622,0.70331,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0054,HF1754,21.4,Bugobero HC IV,existing_nbs,HF1483,Bugobero HC IV,0,partial,St. Anthony'S Tororo HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,34.179151,0.686363,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0055,HF0008,11.3,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,HF0002,Buikwe St. Charles Lwanga HOSPITAL,0,partial,Lugazi Scoul HOSPITAL,General Hospital,Private For Profit,NORTH BUGANDA,32.93794,0.37751,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0055,HF0019,16.7,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,HF0002,Buikwe St. Charles Lwanga HOSPITAL,0,partial,Nkokonjeru HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,32.92302,0.23599,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0055,HF0022,13.6,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,HF0002,Buikwe St. Charles Lwanga HOSPITAL,0,partial,St. Francis Nyenga HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,33.14065,0.39505,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0055,HF1207,24.4,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,HF0002,Buikwe St. Charles Lwanga HOSPITAL,0,partial,Budondo HC IV,HC IV,Government,BUSOGA,33.16165,0.51725,0,0,0,0,0,1,not_ready_score_0,FALSE
